ANO_ELEICAO;CD_TIPO_ELEICAO;NR_TURNO;TP_ABRANGENCIA;ID_UF;CD_CARGO;NR_CANDIDATO;NM_URNA_CANDIDATO;NR_PARTIDO
2022;2;1;ESTADUAL;19;6;1406;ARIEL MARTINS;14
2022;2;1;ESTADUAL;11;7;44300;TULIO MENEZES;44
2022;2;1;ESTADUAL;14;7;19999;DR RENER;19
2022;2;1;ESTADUAL;5;6;5007;MÁRCIA PITTA MULHERES UBUNTU;50
2022;2;1;ESTADUAL;11;6;1019;DOUTOR MARCOS ONCOLOGISTA;10
2022;2;1;ESTADUAL;12;7;50999;TENENTE COLETIVO PROGRESSISTA;50
2022;2;1;ESTADUAL;5;7;11700;ROMILSON CORAÇÃO DE LEÃO;11
2022;2;1;ESTADUAL;19;6;1945;IGOR PORTO;19
2022;2;1;ESTADUAL;10;7;55780;ISRAEL CARVALHO;55
2022;2;1;ESTADUAL;23;7;13321;MAJOR PAULO TITO;13
2022;2;1;ESTADUAL;3;6;5101;NOÉ MARTINS;51
2022;2;1;ESTADUAL;16;6;2771;LELCES XAVIER;27
2022;2;1;ESTADUAL;1;7;15000;EMERSON JARUDE;15
2022;2;1;ESTADUAL;10;7;27221;WAL GOMES;27
2022;2;1;ESTADUAL;1;7;51006;ZILIANE LIMA;51
2022;2;1;ESTADUAL;17;7;51555;NÁDIA LOTTI;51
2022;2;1;ESTADUAL;11;6;2883;JOÃO FRANCISCO;28
2022;2;1;ESTADUAL;6;6;3355;MISSIONÁRIO ALDIZIO BRITO;33
2022;2;1;ESTADUAL;22;6;4040;PROFA ANTÔNIA NECO;40
2022;2;1;ESTADUAL;23;6;1979;CHIQUINHO SANTA CRUZ;19
2022;2;1;ESTADUAL;25;6;1910;CHINA DA BORRACHARIA;19
2022;2;1;ESTADUAL;26;6;2061;LENYNHA;20
2022;2;1;ESTADUAL;18;6;2875;ANTONIO WILSON CORDEIRO DE LIM;28
2022;2;1;ESTADUAL;26;6;1354;ALEXANDRE PADILHA;13
2022;2;1;ESTADUAL;11;7;28810;DEMETRIO DOS VICENTINOS;28
2022;2;1;ESTADUAL;3;7;10456;DERMILSON CHAGAS;10
2022;2;1;ESTADUAL;21;6;1077;LUANA LEMOS;10
2022;2;1;ESTADUAL;12;7;77007;LUIZ BOSSAY;77
2022;2;1;ESTADUAL;5;6;7022;ISABEL CRISTINA;70
2022;2;1;ESTADUAL;19;6;1368;DENILSON SOUZA;13
